Jlf,mu,PP,ClusterUID,ClusterID_renum,Leader Cells,Follower Cells,Total Cells,Leader %,Dominance,Centroid_X,Centroid_Y,PersistenceTime,TimeRange,Centroid_Displacement,Velocity,MeanSize_over_time,StdSize_over_time,ClusterSizeCV_over_time,Phenotypic Index,Entropy
-5.0,27.0,0.0,0_1,1,3,1,4,75.0,Leader-dominated,143.23211875843486,75.78559379217275,11,600-700,5.586486171584912,0.507862379234992,4.0,0.0,0.0,0.5,0.8112781244591328
-5.0,27.0,0.1,0_1,1,3,1,4,75.0,Leader-dominated,163.39275369238632,67.33050038197098,1,700-700,0.0,0.0,4.0,,,0.5,0.8112781244591328
-5.0,27.0,0.3,7_1,1,2,2,4,50.0,Follower-dominated,331.29457070707053,61.74987373737373,27,440-700,11.84242288680252,0.43860825506676,4.0,0.0,0.0,0.0,1.0
-5.0,27.0,0.4,1_1,1,1,1,2,50.0,Follower-dominated,139.64583333333314,62.72916666666667,29,420-700,7.989742716626024,0.2755083695388284,2.0,0.0,0.0,0.0,1.0
-5.0,27.0,1.0,9_1,1,1,1,2,50.0,Follower-dominated,417.3735294117647,66.89117647058823,12,590-700,8.452090471712346,0.7043408726426955,2.0,0.0,0.0,0.0,1.0
-5.0,30.0,0.0,4_1,1,1,1,2,50.0,Follower-dominated,254.96666666666636,59.825,1,700-700,0.0,0.0,2.0,,,0.0,1.0
-5.0,30.0,0.1,1_1,1,1,1,2,50.0,Follower-dominated,373.6386554621847,71.35714285714286,20,510-700,19.834937862274096,0.9917468931137048,2.0,0.0,0.0,0.0,1.0
-5.0,30.0,0.1,7_1,2,2,2,4,50.0,Follower-dominated,53.39572192513347,62.67739898989899,9,620-700,4.312108873739693,0.47912320819329923,4.0,0.0,0.0,0.0,1.0
-5.0,30.0,0.2,8_1,1,1,1,2,50.0,Follower-dominated,332.535294117647,59.39411764705882,13,500-620,1.3131437679900586,0.10101105907615836,2.0,0.0,0.0,0.0,1.0
-5.0,30.0,0.3,2_1,1,1,1,2,50.0,Follower-dominated,38.1414141414149,76.43434343434343,8,630-700,10.234633597649506,1.2793291997061882,2.0,0.0,0.0,0.0,1.0
-5.0,30.0,0.3,3_1,2,1,1,2,50.0,Follower-dominated,199.87867647058837,66.99632352941177,22,490-700,11.938958379171838,0.5426799263259926,2.0,0.0,0.0,0.0,1.0
-5.0,30.0,0.3,6_1,3,3,2,5,60.0,Leader-dominated,154.93032467532484,71.54141774891775,5,660-700,3.29324864121849,0.658649728243698,5.0,0.0,0.0,0.2,0.9709505944546686
-5.0,30.0,0.3,7_1,4,1,1,2,50.0,Follower-dominated,490.00735294117646,80.82904411764706,29,420-700,24.69990669765826,0.8517209206089056,2.0,0.0,0.0,0.0,1.0
-5.0,30.0,0.3,9_1,5,1,2,3,33.333333333333336,Follower-dominated,145.19047619047615,84.88095238095238,45,260-700,43.85748413570982,0.9746107585713293,2.2888888888888888,0.45836776730155243,0.20025776241329962,0.3333333333333333,0.9182958340544896
