MCS,Adhesion Energy,Migration Coefficient,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters
500,-5.0,0.0,0.0,2976.0,2976.0,0,0,0,0
500,-5.0,0.0,0.0,2428.5,2428.5,0,0,0,0
500,-5.0,0.0,0.0,2392.5,2392.5,0,0,0,0
500,-5.0,0.0,0.0,2978.0,2978.0,0,0,0,0
500,-5.0,0.0,0.0,1911.0,1911.0,0,0,0,0
500,-5.0,0.0,0.0,2401.0,2401.0,0,0,0,0
500,-5.0,0.0,0.0,2013.0,2013.0,0,0,0,0
500,-5.0,0.0,0.0,1615.0,1615.0,0,0,0,0
500,-5.0,0.0,0.0,3470.0,3470.0,0,0,0,0
500,-5.0,0.0,0.0,2535.5,2535.5,0,0,0,0
500,-5.0,0.0,0.1,1920.5,1920.5,0,0,0,0
500,-5.0,0.0,0.1,2154.5,2154.5,0,0,0,0
500,-5.0,0.0,0.1,2114.0,2114.0,0,0,0,0
500,-5.0,0.0,0.1,1991.0,1991.0,0,0,0,0
500,-5.0,0.0,0.1,1969.0,1969.0,0,0,0,0
500,-5.0,0.0,0.1,2946.5,2946.5,0,2,0,0
500,-5.0,0.0,0.1,2877.0,2877.0,0,0,0,0
500,-5.0,0.0,0.1,2375.5,2375.5,0,0,0,0
500,-5.0,0.0,0.1,3052.0,3052.0,0,0,0,0
500,-5.0,0.0,0.1,2477.5,2477.5,0,0,0,0
500,-5.0,0.0,0.2,3377.0,3377.0,0,0,0,0
500,-5.0,0.0,0.2,2959.0,2959.0,0,0,0,0
500,-5.0,0.0,0.2,2386.0,2386.0,0,0,0,0
500,-5.0,0.0,0.2,2014.5,2014.5,0,0,0,0
500,-5.0,0.0,0.2,2552.5,2552.5,0,0,0,0
500,-5.0,0.0,0.2,2212.5,2212.5,0,0,0,0
500,-5.0,0.0,0.2,1904.0,1904.0,0,0,0,0
500,-5.0,0.0,0.2,2069.0,2069.0,0,0,0,0
500,-5.0,0.0,0.2,2322.0,2322.0,0,0,0,0
500,-5.0,0.0,0.2,2516.0,2516.0,0,0,0,0
500,-5.0,0.0,0.3,2585.0,2585.0,0,0,0,0
500,-5.0,0.0,0.3,2514.0,2514.0,0,0,0,0
500,-5.0,0.0,0.3,2271.5,2271.5,0,0,0,0
500,-5.0,0.0,0.3,2495.0,2495.0,0,0,0,0
500,-5.0,0.0,0.3,2488.0,2488.0,0,0,0,0
500,-5.0,0.0,0.3,4069.0,4069.0,0,0,0,0
500,-5.0,0.0,0.3,2703.0,2703.0,0,0,0,0
500,-5.0,0.0,0.3,2983.0,2983.0,0,0,0,0
500,-5.0,0.0,0.3,2007.0,2007.0,0,0,0,0
500,-5.0,0.0,0.3,2129.0,2129.0,0,0,0,0
500,-5.0,0.0,0.4,2267.0,2267.0,0,0,0,0
500,-5.0,0.0,0.4,3177.0,3177.0,0,0,0,0
500,-5.0,0.0,0.4,2063.5,2063.5,0,0,0,0
500,-5.0,0.0,0.4,2132.0,2132.0,0,0,0,0
500,-5.0,0.0,0.4,2583.5,2583.5,0,0,0,0
500,-5.0,0.0,0.4,2621.0,2621.0,0,0,0,0
500,-5.0,0.0,0.4,2287.0,2287.0,0,0,0,0
500,-5.0,0.0,0.4,3990.0,3990.0,0,0,0,0
500,-5.0,0.0,0.4,3027.0,3027.0,0,0,0,0
500,-5.0,0.0,0.4,2622.0,2622.0,0,0,0,0
500,-5.0,0.0,0.5,2045.5,2045.5,0,0,0,0
500,-5.0,0.0,0.5,3093.0,3093.0,0,0,0,0
500,-5.0,0.0,0.5,2609.0,2609.0,0,0,0,0
500,-5.0,0.0,0.5,2618.5,2618.5,0,0,0,0
500,-5.0,0.0,0.5,1370.0,1370.0,0,0,0,0
500,-5.0,0.0,0.5,1544.0,1544.0,0,0,0,0
500,-5.0,0.0,0.5,2782.5,2782.5,0,0,0,0
500,-5.0,0.0,0.5,3007.0,3007.0,0,0,0,0
500,-5.0,0.0,0.5,1978.0,1978.0,0,0,0,0
500,-5.0,0.0,0.6,2907.5,2907.5,0,0,0,0
500,-5.0,0.0,0.6,2094.0,2094.0,0,0,0,0
500,-5.0,0.0,0.6,2526.5,2526.5,0,0,0,0
