Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters
-5.0,0.0,0.0,2325,2325,0,0,0,0
-5.0,0.0,0.1,2491,2491,0,0,0,0
-5.0,0.0,0.2,2484,2484,0,0,0,0
-5.0,0.0,0.3,2686,2686,0,0,0,0
-5.0,0.0,0.4,2592,2592,0,0,0,0
-5.0,0.0,0.5,2120,2120,0,0,0,0
-5.0,0.0,0.6,2493,2493,0,0,0,0
-5.0,0.0,0.7,2384,2384,0,0,0,0
-5.0,0.0,0.8,2371,2371,0,0,0,0
-5.0,0.0,0.9,2398,2398,0,0,0,0
-5.0,0.0,1.0,2372,2372,0,0,0,0
-5.0,3.0,0.0,2264,2264,0,0,0,0
-5.0,3.0,0.1,2233,2233,0,0,0,0
-5.0,3.0,0.2,2658,2658,0,0,0,0
-5.0,3.0,0.3,2564,2564,0,0,0,0
-5.0,3.0,0.4,2352,2352,0,0,0,0
-5.0,3.0,0.5,2312,2312,0,0,0,0
-5.0,3.0,0.6,2463,2463,0,0,0,0
-5.0,3.0,0.7,2401,2401,0,0,0,0
-5.0,3.0,0.8,2367,2367,0,0,0,0
-5.0,3.0,0.9,2403,2403,0,0,0,0
-5.0,3.0,1.0,2056,2056,0,0,0,0
-5.0,6.0,0.0,2524,2524,0,0,0,0
-5.0,6.0,0.1,2472,2472,0,0,0,0
-5.0,6.0,0.2,2364,2364,0,0,0,0
-5.0,6.0,0.3,2419,2419,0,0,0,0
-5.0,6.0,0.4,2488,2488,0,0,0,0
-5.0,6.0,0.5,2524,2524,0,0,0,0
-5.0,6.0,0.6,2452,2452,0,0,0,0
-5.0,6.0,0.7,2597,2597,0,0,0,0
-5.0,6.0,0.8,2671,2671,0,0,0,0
-5.0,6.0,0.9,2341,2341,0,0,0,0
-5.0,6.0,1.0,2423,2423,0,0,0,0
-5.0,9.0,0.0,2749,2749,0,0,0,0
-5.0,9.0,0.1,2479,2479,0,0,0,0
-5.0,9.0,0.2,2520,2520,0,0,0,0
-5.0,9.0,0.3,2630,2630,0,0,0,0
-5.0,9.0,0.4,2317,2317,0,0,0,0
-5.0,9.0,0.5,2480,2480,0,0,0,0
-5.0,9.0,0.6,2697,2697,0,0,0,0
-5.0,9.0,0.7,2424,2424,0,0,0,0
-5.0,9.0,0.8,2364,2364,0,0,0,0
-5.0,9.0,0.9,2486,2486,0,0,0,0
-5.0,9.0,1.0,2320,2320,0,0,0,0
-5.0,12.0,0.0,2566,2566,0,0,0,0
