Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,MCS
-5.0,0.0,0.0,2951.5,2951.5,0,0,0,0,500
-5.0,0.0,0.0,2111.5,2111.5,0,0,0,0,500
-5.0,0.0,0.0,1890.5,1890.5,0,0,0,0,500
-5.0,0.0,0.0,2555.0,2555.0,0,0,0,0,500
-5.0,0.0,0.0,2198.0,2198.0,0,0,0,0,500
-5.0,0.0,0.0,1948.0,1948.0,0,0,0,0,500
-5.0,0.0,0.0,1715.0,1715.0,0,0,0,0,500
-5.0,0.0,0.0,2365.0,2365.0,0,0,0,0,500
-5.0,0.0,0.0,3352.0,3352.0,0,0,0,0,500
-5.0,0.0,0.0,1546.0,1546.0,0,0,0,0,500
-5.0,0.0,0.0,1923.0,1923.0,0,0,0,0,500
-5.0,0.0,0.0,2407.0,2407.0,0,0,0,0,500
-5.0,0.0,0.1,3046.5,3046.5,0,0,0,0,500
-5.0,0.0,0.1,2605.0,2605.0,0,0,0,0,500
-5.0,0.0,0.1,2870.0,2870.0,0,0,0,0,500
-5.0,0.0,0.1,1540.5,1540.5,0,0,0,0,500
-5.0,0.0,0.1,2097.0,2097.0,0,1,0,0,500
-5.0,0.0,0.1,2544.0,2544.0,0,0,0,0,500
-5.0,0.0,0.1,2400.5,2400.5,0,0,0,0,500
-5.0,0.0,0.1,2833.0,2833.0,0,0,0,0,500
-5.0,0.0,0.1,2416.0,2416.0,0,0,0,0,500
-5.0,0.0,0.1,1608.5,1608.5,0,0,0,0,500
-5.0,0.0,0.1,2099.0,2099.0,0,0,0,0,500
-5.0,0.0,0.1,2052.5,2052.5,0,0,0,0,500
-5.0,0.0,0.2,3015.5,3015.5,0,0,0,0,500
-5.0,0.0,0.2,2637.5,2637.5,0,0,0,0,500
-5.0,0.0,0.2,2142.5,2142.5,0,0,0,0,500
-5.0,0.0,0.2,1955.0,1955.0,0,0,0,0,500
-5.0,0.0,0.2,2543.0,2543.0,0,0,0,0,500
-5.0,0.0,0.2,1978.0,1978.0,0,0,0,0,500
-5.0,0.0,0.2,2475.0,2475.0,0,0,0,0,500
-5.0,0.0,0.2,1440.0,1440.0,0,0,0,0,500
-5.0,0.0,0.2,2423.0,2423.0,0,0,0,0,500
-5.0,0.0,0.2,1682.0,1682.0,0,0,0,0,500
-5.0,0.0,0.2,2630.5,2630.5,0,0,0,0,500
-5.0,0.0,0.2,3119.5,3119.5,0,0,0,0,500
