Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,MCS
-5.0,0.0,0.0,3017.0,3017.0,0,0,0,0,400
-5.0,0.0,0.0,1730.0,1730.0,0,0,0,0,400
-5.0,0.0,0.0,2912.0,2912.0,0,0,0,0,400
-5.0,0.0,0.0,1961.5,1961.5,0,0,0,0,400
-5.0,0.0,0.0,2225.0,2225.0,0,0,0,0,400
-5.0,0.0,0.0,2023.5,2023.5,0,0,0,0,400
-5.0,0.0,0.0,2244.5,2244.5,0,0,0,0,400
-5.0,0.0,0.0,2386.5,2386.5,0,0,0,0,400
-5.0,0.0,0.0,2453.5,2453.5,0,0,0,0,400
-5.0,0.0,0.0,1668.0,1668.0,0,0,0,0,400
-5.0,0.0,0.0,2490.0,2490.0,0,0,0,0,400
-5.0,0.0,0.0,1994.0,1994.0,0,0,0,0,400
-5.0,0.0,0.1,2107.5,2107.5,0,0,0,0,400
-5.0,0.0,0.1,2197.5,2197.5,0,0,0,0,400
-5.0,0.0,0.1,2405.5,2405.5,0,0,0,0,400
-5.0,0.0,0.1,3069.0,3069.0,0,0,0,0,400
-5.0,0.0,0.1,2580.5,2580.5,0,0,0,0,400
-5.0,0.0,0.1,1994.0,1994.0,0,0,0,0,400
-5.0,0.0,0.1,3926.5,3926.5,0,0,0,0,400
-5.0,0.0,0.1,1985.0,1985.0,0,0,0,0,400
-5.0,0.0,0.1,3502.5,3502.5,0,0,0,0,400
-5.0,0.0,0.1,2096.0,2096.0,0,0,0,0,400
-5.0,0.0,0.1,2241.5,2241.5,0,0,0,0,400
-5.0,0.0,0.1,1597.5,1597.5,0,0,0,0,400
-5.0,0.0,0.2,2064.5,2064.5,0,0,0,0,400
-5.0,0.0,0.2,2575.5,2575.5,0,0,0,0,400
-5.0,0.0,0.2,3108.0,3108.0,0,0,0,0,400
-5.0,0.0,0.2,2001.0,2001.0,0,0,0,0,400
-5.0,0.0,0.2,2124.0,2124.0,0,0,0,0,400
-5.0,0.0,0.2,2439.5,2439.5,0,0,0,0,400
-5.0,0.0,0.2,2062.0,2062.0,0,0,0,0,400
-5.0,0.0,0.2,2541.5,2541.5,0,0,0,0,400
-5.0,0.0,0.2,2541.0,2541.0,0,0,0,0,400
-5.0,0.0,0.2,2671.0,2671.0,0,0,0,0,400
-5.0,0.0,0.2,2193.0,2193.0,0,0,0,0,400
-5.0,0.0,0.2,2146.0,2146.0,0,0,0,0,400
-5.0,0.0,0.3,2285.0,2285.0,0,0,0,0,400
-5.0,0.0,0.3,1660.0,1660.0,0,0,0,0,400
-5.0,0.0,0.3,2564.0,2564.0,0,0,0,0,400
-5.0,0.0,0.3,2382.5,2382.5,0,0,0,0,400
-5.0,0.0,0.3,2349.5,2349.5,0,0,0,0,400
-5.0,0.0,0.3,1090.5,1090.5,0,0,0,0,400
-5.0,0.0,0.3,3467.5,3467.5,0,1,0,0,400
-5.0,0.0,0.3,2995.0,2995.0,0,0,0,0,400
-5.0,0.0,0.3,2562.0,2562.0,0,0,0,0,400
-5.0,0.0,0.3,2390.5,2390.5,0,0,0,0,400
-5.0,0.0,0.3,3390.0,3390.0,0,0,0,0,400
-5.0,0.0,0.3,2248.0,2248.0,0,0,0,0,400
-5.0,0.0,0.4,2117.5,2117.5,0,0,0,0,400
-5.0,0.0,0.4,2300.5,2300.5,0,0,0,0,400
-5.0,0.0,0.4,1562.0,1562.0,0,0,0,0,400
