MCS,Contact Energy,Migration Coefficient,Proliferative Probability,Phenotype,Probability
0,-5,0,0,No invasion,1
0,-5,0,0.1,No invasion,1
0,-5,0,0.2,No invasion,1
0,-5,0,0.3,No invasion,1
0,-5,0,0.4,No invasion,1
0,-5,0,0.5,No invasion,1
0,-5,0,0.6,No invasion,1
0,-5,0,0.7,No invasion,1
0,-5,0,0.8,No invasion,1
0,-5,0,0.9,No invasion,1
0,-5,0,1,No invasion,1
0,-5,3,0,No invasion,1
0,-5,3,0.1,No invasion,1
0,-5,3,0.2,No invasion,1
0,-5,3,0.3,No invasion,1
0,-5,3,0.4,No invasion,1
0,-5,3,0.5,No invasion,1
0,-5,3,0.6,No invasion,1
0,-5,3,0.7,No invasion,1
0,-5,3,0.8,No invasion,1
0,-5,3,0.9,No invasion,1
0,-5,3,1,No invasion,1
0,-5,6,0,No invasion,1
0,-5,6,0.1,No invasion,1
0,-5,6,0.2,No invasion,1
0,-5,6,0.3,No invasion,1
0,-5,6,0.4,No invasion,1
0,-5,6,0.5,No invasion,1
0,-5,6,0.6,No invasion,1
0,-5,6,0.7,No invasion,1
0,-5,6,0.8,No invasion,1
0,-5,6,0.9,No invasion,1
0,-5,6,1,No invasion,1
0,-5,9,0,No invasion,1
0,-5,9,0.1,No invasion,1
0,-5,9,0.2,No invasion,1
0,-5,9,0.3,No invasion,1
0,-5,9,0.4,No invasion,1
0,-5,9,0.5,No invasion,1
0,-5,9,0.6,No invasion,1
0,-5,9,0.7,No invasion,1
0,-5,9,0.8,No invasion,1
0,-5,9,0.9,No invasion,1
0,-5,9,1,No invasion,1
0,-5,12,0,No invasion,1
0,-5,12,0.1,No invasion,1
0,-5,12,0.2,No invasion,1
0,-5,12,0.3,No invasion,1
0,-5,12,0.4,No invasion,1
0,-5,12,0.5,No invasion,1
0,-5,12,0.6,No invasion,1
0,-5,12,0.7,No invasion,1
0,-5,12,0.8,No invasion,1
0,-5,12,0.9,No invasion,1
0,-5,12,1,No invasion,1
0,-5,15,0,No invasion,1
0,-5,15,0.1,No invasion,1
0,-5,15,0.2,No invasion,1
0,-5,15,0.3,No invasion,1
0,-5,15,0.4,No invasion,1
0,-5,15,0.5,No invasion,1
0,-5,15,0.6,No invasion,1
0,-5,15,0.7,No invasion,1
0,-5,15,0.8,No invasion,1
0,-5,15,0.9,No invasion,1
0,-5,15,1,No invasion,1
0,-5,18,0,No invasion,1
0,-5,18,0.1,No invasion,1
0,-5,18,0.2,No invasion,1
0,-5,18,0.3,No invasion,1
0,-5,18,0.4,No invasion,1
0,-5,18,0.5,No invasion,1
0,-5,18,0.6,No invasion,1
0,-5,18,0.7,No invasion,1
0,-5,18,0.8,No invasion,1
0,-5,18,0.9,No invasion,1
0,-5,18,1,No invasion,1
0,-5,21,0,No invasion,1
0,-5,21,0.1,No invasion,1
0,-5,21,0.2,No invasion,1
0,-5,21,0.3,No invasion,1
0,-5,21,0.4,No invasion,1
0,-5,21,0.5,No invasion,1
0,-5,21,0.6,No invasion,1
0,-5,21,0.7,No invasion,1
0,-5,21,0.8,No invasion,1
0,-5,21,0.9,No invasion,1
0,-5,21,1,No invasion,1
0,-5,24,0,No invasion,1
0,-5,24,0.1,No invasion,1
0,-5,24,0.2,No invasion,1
