Contact Energy,Chemotaxis Lambda,Proliferative Probability,Phenotype,Probability
-5,0,0.0,No invasion,1.0
-5,0,0.1,No invasion,1.0
-5,0,0.2,No invasion,1.0
-5,0,0.3,No invasion,1.0
-5,0,0.4,No invasion,1.0
-5,0,0.5,No invasion,1.0
-5,0,0.6,No invasion,1.0
-5,0,0.7,No invasion,1.0
-5,0,0.8,No invasion,1.0
-5,0,0.9,No invasion,1.0
-5,0,1.0,No invasion,1.0
-5,3,0.0,No invasion,1.0
-5,3,0.1,No invasion,1.0
-5,3,0.2,No invasion,1.0
-5,3,0.3,No invasion,1.0
-5,3,0.4,No invasion,1.0
-5,3,0.5,No invasion,1.0
-5,3,0.6,No invasion,1.0
-5,3,0.7,No invasion,1.0
-5,3,0.8,No invasion,1.0
-5,3,0.9,No invasion,1.0
-5,3,1.0,No invasion,1.0
-5,6,0.0,No invasion,1.0
-5,6,0.1,No invasion,1.0
-5,6,0.2,No invasion,1.0
-5,6,0.3,No invasion,1.0
-5,6,0.4,No invasion,1.0
-5,6,0.5,No invasion,1.0
-5,6,0.6,No invasion,1.0
-5,6,0.7,No invasion,1.0
-5,6,0.8,No invasion,1.0
-5,6,0.9,No invasion,1.0
-5,6,1.0,No invasion,1.0
-5,9,0.0,No invasion,1.0
-5,9,0.1,Bulk invasion,0.1
-5,9,0.1,No invasion,0.9
-5,9,0.2,No invasion,1.0
-5,9,0.3,No invasion,1.0
-5,9,0.4,No invasion,1.0
-5,9,0.5,No invasion,1.0
-5,9,0.6,No invasion,1.0
-5,9,0.7,No invasion,1.0
-5,9,0.8,No invasion,1.0
-5,9,0.9,No invasion,1.0
-5,9,1.0,No invasion,1.0
-5,12,0.0,Bulk invasion,0.2
-5,12,0.0,No invasion,0.8
-5,12,0.1,Bulk invasion,0.1
-5,12,0.1,No invasion,0.9
-5,12,0.2,No invasion,1.0
-5,12,0.3,No invasion,1.0
-5,12,0.4,Bulk invasion,0.1
-5,12,0.4,No invasion,0.9
-5,12,0.5,Bulk invasion,0.1
-5,12,0.5,No invasion,0.9
-5,12,0.6,No invasion,1.0
-5,12,0.7,Bulk invasion,0.1
-5,12,0.7,No invasion,0.9
-5,12,0.8,Bulk invasion,0.1
-5,12,0.8,No invasion,0.9
-5,12,0.9,No invasion,1.0
-5,12,1.0,No invasion,1.0
-5,15,0.0,Bulk invasion,0.1
-5,15,0.0,No invasion,0.9
-5,15,0.1,Bulk invasion,0.2
-5,15,0.1,No invasion,0.8
-5,15,0.2,Bulk invasion,0.1
-5,15,0.2,No invasion,0.9
-5,15,0.3,Bulk invasion,0.1
-5,15,0.3,No invasion,0.9
-5,15,0.4,Bulk invasion,0.1
-5,15,0.4,No invasion,0.9
-5,15,0.5,Bulk invasion,0.2
-5,15,0.5,No invasion,0.8
-5,15,0.6,Bulk invasion,0.2
-5,15,0.6,No invasion,0.8
-5,15,0.7,Bulk invasion,0.2
-5,15,0.7,No invasion,0.8
-5,15,0.8,Bulk invasion,0.1
-5,15,0.8,No invasion,0.9
-5,15,0.9,Bulk invasion,0.1
-5,15,0.9,No invasion,0.9
-5,15,1.0,Bulk invasion,0.1
-5,15,1.0,No invasion,0.9
-5,18,0.0,Bulk invasion,0.3
-5,18,0.0,No invasion,0.7
-5,18,0.1,Bulk invasion,0.2
-5,18,0.1,No invasion,0.8
-5,18,0.2,Bulk invasion,0.6
-5,18,0.2,No invasion,0.4
-5,18,0.3,Bulk invasion,0.3
-5,18,0.3,No invasion,0.7
-5,18,0.4,Bulk invasion,0.4
-5,18,0.4,No invasion,0.6
-5,18,0.5,Bulk invasion,0.2
-5,18,0.5,No invasion,0.8
-5,18,0.6,Bulk invasion,0.3
-5,18,0.6,No invasion,0.7
-5,18,0.7,Bulk invasion,0.5
-5,18,0.7,No invasion,0.5
-5,18,0.8,Bulk invasion,0.2
-5,18,0.8,No invasion,0.8
-5,18,0.9,Bulk invasion,0.3
-5,18,0.9,No invasion,0.7
-5,18,1.0,Bulk invasion,0.5
-5,18,1.0,No invasion,0.5
-5,21,0.0,Bulk invasion,1.0
-5,21,0.1,Bulk invasion,0.8
-5,21,0.1,No invasion,0.2
-5,21,0.2,Bulk invasion,0.8
-5,21,0.2,No invasion,0.2
-5,21,0.3,Bulk invasion,0.6
-5,21,0.3,Multimodal invasion,0.1
-5,21,0.3,No invasion,0.3
-5,21,0.4,Bulk invasion,0.7
-5,21,0.4,No invasion,0.3
-5,21,0.5,Bulk invasion,0.8
-5,21,0.5,No invasion,0.2
-5,21,0.6,Bulk invasion,0.9
-5,21,0.6,No invasion,0.1
-5,21,0.7,Bulk invasion,0.9
-5,21,0.7,No invasion,0.1
-5,21,0.8,Bulk invasion,1.0
-5,21,0.9,Bulk invasion,0.7
-5,21,0.9,No invasion,0.3
-5,21,1.0,Bulk invasion,0.7
-5,21,1.0,No invasion,0.3
-5,24,0.0,Bulk invasion,1.0
-5,24,0.1,Bulk invasion,1.0
-5,24,0.2,Bulk invasion,1.0
-5,24,0.3,Bulk invasion,1.0
-5,24,0.4,Bulk invasion,1.0
-5,24,0.5,Bulk invasion,1.0
-5,24,0.6,Bulk invasion,1.0
-5,24,0.7,Bulk invasion,0.9
-5,24,0.7,No invasion,0.1
-5,24,0.8,Bulk invasion,1.0
-5,24,0.9,Bulk invasion,1.0
-5,24,1.0,Bulk invasion,1.0
-5,27,0.0,Bulk invasion,1.0
-5,27,0.1,Bulk invasion,0.9
-5,27,0.1,Multimodal invasion,0.1
-5,27,0.2,Bulk invasion,0.9
-5,27,0.2,Multimodal invasion,0.1
-5,27,0.3,Bulk invasion,1.0
-5,27,0.4,Bulk invasion,1.0
-5,27,0.5,Bulk invasion,0.8888888888888888
-5,27,0.5,Multimodal invasion,0.1111111111111111
-5,27,0.6,Bulk invasion,0.9
-5,27,0.6,Multimodal invasion,0.1
-5,27,0.7,Bulk invasion,0.9
-5,27,0.7,Multimodal invasion,0.1
-5,27,0.8,Bulk invasion,1.0
-5,27,0.9,Bulk invasion,1.0
-5,27,1.0,Bulk invasion,1.0
-5,30,0.0,Bulk invasion,0.375
-5,30,0.0,Multimodal invasion,0.625
-5,30,0.1,Bulk invasion,0.5555555555555556
-5,30,0.1,Multimodal invasion,0.4444444444444444
-5,30,0.2,Bulk invasion,0.5
-5,30,0.2,Multimodal invasion,0.5
-5,30,0.3,Bulk invasion,0.8888888888888888
-5,30,0.3,Multimodal invasion,0.1111111111111111
-5,30,0.4,Bulk invasion,0.7777777777777778
-5,30,0.4,Multimodal invasion,0.2222222222222222
-5,30,0.5,Bulk invasion,0.4444444444444444
-5,30,0.5,Multimodal invasion,0.5555555555555556
-5,30,0.6,Bulk invasion,0.5555555555555556
-5,30,0.6,Multimodal invasion,0.4444444444444444
-5,30,0.7,Bulk invasion,0.75
-5,30,0.7,Multimodal invasion,0.25
-5,30,0.8,Bulk invasion,0.5555555555555556
-5,30,0.8,Multimodal invasion,0.4444444444444444
-5,30,0.9,Bulk invasion,0.7142857142857143
-5,30,0.9,Multimodal invasion,0.2857142857142857
-5,30,1.0,Bulk invasion,0.5
-5,30,1.0,Multimodal invasion,0.5
-4,0,0.0,No invasion,1.0
-4,0,0.1,No invasion,1.0
-4,0,0.2,No invasion,1.0
-4,0,0.3,Bulk invasion,0.1
-4,0,0.3,No invasion,0.9
-4,0,0.4,No invasion,1.0
-4,0,0.5,No invasion,1.0
-4,0,0.6,No invasion,1.0
-4,0,0.7,No invasion,1.0
-4,0,0.8,No invasion,1.0
-4,0,0.9,No invasion,1.0
-4,0,1.0,No invasion,1.0
-4,3,0.0,No invasion,1.0
-4,3,0.1,No invasion,1.0
-4,3,0.2,No invasion,1.0
-4,3,0.3,No invasion,1.0
-4,3,0.4,No invasion,1.0
-4,3,0.5,No invasion,1.0
-4,3,0.6,Bulk invasion,0.1
-4,3,0.6,No invasion,0.9
-4,3,0.7,No invasion,1.0
-4,3,0.8,No invasion,1.0
-4,3,0.9,No invasion,1.0
-4,3,1.0,Bulk invasion,0.1
-4,3,1.0,No invasion,0.9
-4,6,0.0,No invasion,1.0
-4,6,0.1,No invasion,1.0
-4,6,0.2,No invasion,1.0
-4,6,0.3,No invasion,1.0
-4,6,0.4,No invasion,1.0
-4,6,0.5,No invasion,1.0
-4,6,0.6,No invasion,1.0
-4,6,0.7,No invasion,1.0
-4,6,0.8,No invasion,1.0
-4,6,0.9,No invasion,1.0
-4,6,1.0,No invasion,1.0
-4,9,0.0,No invasion,1.0
-4,9,0.1,No invasion,1.0
-4,9,0.2,Bulk invasion,0.1
-4,9,0.2,No invasion,0.9
-4,9,0.3,No invasion,1.0
-4,9,0.4,No invasion,1.0
-4,9,0.5,No invasion,1.0
-4,9,0.6,No invasion,1.0
-4,9,0.7,Bulk invasion,0.1
-4,9,0.7,No invasion,0.9
-4,9,0.8,No invasion,1.0
-4,9,0.9,Bulk invasion,0.1
-4,9,0.9,No invasion,0.9
-4,9,1.0,No invasion,1.0
-4,12,0.0,No invasion,1.0
-4,12,0.1,Bulk invasion,0.1
-4,12,0.1,No invasion,0.9
-4,12,0.2,No invasion,1.0
-4,12,0.3,No invasion,1.0
-4,12,0.4,Bulk invasion,0.1
-4,12,0.4,No invasion,0.9
-4,12,0.5,No invasion,1.0
-4,12,0.6,Bulk invasion,0.2
-4,12,0.6,No invasion,0.8
-4,12,0.7,Bulk invasion,0.2
-4,12,0.7,No invasion,0.8
-4,12,0.8,Bulk invasion,0.2
-4,12,0.8,No invasion,0.8
-4,12,0.9,Bulk invasion,0.1
-4,12,0.9,Multimodal invasion,0.1
-4,12,0.9,No invasion,0.8
-4,12,1.0,Bulk invasion,0.2
-4,12,1.0,No invasion,0.8
-4,15,0.0,Bulk invasion,0.6
-4,15,0.0,No invasion,0.4
-4,15,0.1,Bulk invasion,0.4
-4,15,0.1,No invasion,0.6
-4,15,0.2,Bulk invasion,0.5
-4,15,0.2,No invasion,0.5
