Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area_mean,Invasive Area_std,Invasive Area_count,Infiltrative Area_mean,Infiltrative Area_std,Infiltrative Area_count,Singles_mean,Singles_std,Singles_count,Fingers_mean,Fingers_std,Fingers_count,Clusters_mean,Clusters_std,Clusters_count,Invasive Area_sem,Infiltrative Area_sem,Singles_sem,Fingers_sem,Clusters_sem
-5,0,0.0,2479.35,656.7519847282111,10,2479.35,656.7519847282111,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,207.68321295772665,207.68321295772665,0.0,0.0,0.0
-5,0,0.1,2347.1,574.4116216713508,10,2347.1,574.4116216713508,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,181.64490389524033,181.64490389524033,0.0,0.09999999999999999,0.0
-5,0,0.2,2470.2,401.75304741981876,10,2470.2,401.75304741981876,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,127.04546867602603,127.04546867602603,0.0,0.0,0.0
-5,0,0.3,2298.65,366.8177756809988,10,2298.65,366.8177756809988,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,115.99796573886783,115.99796573886783,0.0,0.09999999999999999,0.0
-5,0,0.4,2170.75,549.3227269404874,10,2170.75,549.3227269404874,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,173.7110987626678,173.7110987626678,0.0,0.0,0.0
-5,0,0.5,2685.6,828.9293228148116,10,2685.6,828.9293228148116,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,262.1304679395781,262.1304679395781,0.0,0.0,0.0
-5,0,0.6,2229.85,484.7028327863486,10,2229.85,484.7028327863486,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,153.27649399405996,153.27649399405996,0.0,0.0,0.0
-5,0,0.7,2689.15,610.2852270318637,10,2689.15,610.2852270318637,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,192.989133977365,192.989133977365,0.0,0.0,0.0
-5,0,0.8,2356.0,545.4525643903418,10,2356.0,545.4525643903418,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,172.48724590531322,172.48724590531322,0.0,0.09999999999999999,0.0
-5,0,0.9,2201.6,549.1490285483129,10,2201.6,549.1490285483129,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,173.65617050814973,173.65617050814973,0.0,0.0,0.0
-5,0,1.0,2362.9,417.6035334035275,10,2362.9,417.6035334035275,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,132.05783244893544,132.05783244893544,0.0,0.0,0.0
-5,3,0.0,2359.85,320.9712733771253,10,2359.85,320.9712733771253,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,101.5000287356281,101.5000287356281,0.0,0.0,0.0
-5,3,0.1,2826.15,489.9388879124506,10,2826.15,489.9388879124506,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,154.9322800093282,154.9322800093282,0.0,0.0,0.0
-5,3,0.2,2284.4,309.65104015111376,10,2284.4,309.65104015111376,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,97.92025667177688,97.92025667177688,0.0,0.0,0.0
-5,3,0.3,2613.25,397.65257379331075,10,2613.25,397.65257379331075,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,125.74878506150445,125.74878506150445,0.0,0.09999999999999999,0.0
-5,3,0.4,2136.1,348.2469430351591,10,2136.1,348.2469430351591,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,110.12535281820138,110.12535281820138,0.0,0.09999999999999999,0.0
-5,3,0.5,2276.15,524.1166139324339,10,2276.15,524.1166139324339,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,165.74022595616307,165.74022595616307,0.0,0.0,0.0
-5,3,0.6,2506.95,401.5377697745949,10,2506.95,401.5377697745949,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,126.97739190720353,126.97739190720353,0.0,0.0,0.0
-5,3,0.7,2563.85,522.7690721320245,10,2563.85,522.7690721320245,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,165.3140958230053,165.3140958230053,0.0,0.09999999999999999,0.0
-5,3,0.8,2092.35,418.7915849998262,10,2092.35,418.7915849998262,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,132.43352735114573,132.43352735114573,0.0,0.0,0.0
-5,3,0.9,2367.3,743.3699243609769,10,2367.3,743.3699243609769,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,235.0742105047775,235.0742105047775,0.0,0.09999999999999999,0.0
-5,3,1.0,1940.35,376.16449194468106,10,1940.35,376.16449194468106,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,118.95365694252531,118.95365694252531,0.0,0.09999999999999999,0.0
-5,6,0.0,2673.65,632.0823192696765,10,2673.65,632.0823192696765,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,199.8819797613915,199.8819797613915,0.0,0.0,0.0
-5,6,0.1,2489.9,354.2218231560557,10,2489.9,354.2218231560557,10,0.0,0.0,10,0.2,0.4216370213557839,10,0.0,0.0,10,112.01477581105091,112.01477581105091,0.0,0.13333333333333333,0.0
-5,6,0.2,2406.5,417.19919303213743,10,2406.5,417.19919303213743,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,131.92996879658034,131.92996879658034,0.0,0.09999999999999999,0.0
-5,6,0.3,2492.4,330.6464039490593,10,2492.4,330.6464039490593,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,104.55957366231199,104.55957366231199,0.0,0.0,0.0
-5,6,0.4,2461.4,572.752118188042,10,2461.4,572.752118188042,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,181.12012281601645,181.12012281601645,0.0,0.09999999999999999,0.0
-5,6,0.5,2743.7,739.477751149042,10,2743.7,739.477751149042,10,0.0,0.0,10,0.2,0.42163702135578396,10,0.0,0.0,10,233.84339726501673,233.84339726501673,0.0,0.13333333333333333,0.0
-5,6,0.6,2243.4,444.350387269626,10,2243.4,444.350387269626,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,140.51593029499062,140.51593029499062,0.0,0.0,0.0
-5,6,0.7,2415.05,497.6642916889077,10,2415.05,497.6642916889077,10,0.0,0.0,10,0.2,0.4216370213557839,10,0.0,0.0,10,157.37526718713528,157.37526718713528,0.0,0.13333333333333333,0.0
-5,6,0.8,2377.95,264.95297800846765,10,2377.95,264.95297800846765,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,83.7854883351261,83.7854883351261,0.0,0.0,0.0
-5,6,0.9,2665.7,471.0335090698608,10,2665.7,471.0335090698608,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,148.95387429223405,148.95387429223405,0.0,0.0,0.0
-5,6,1.0,2478.75,379.0805579879354,10,2478.75,379.0805579879354,10,0.0,0.0,10,0.2,0.42163702135578396,10,0.0,0.0,10,119.87579799294119,119.87579799294119,0.0,0.13333333333333333,0.0
-5,9,0.0,2634.8,349.47072679823833,10,2634.8,349.47072679823833,10,0.0,0.0,10,0.3,0.48304589153964794,10,0.0,0.0,10,110.5123472236876,110.5123472236876,0.0,0.15275252316519466,0.0
-5,9,0.1,2479.25,671.1606965217462,10,2479.25,671.1606965217462,10,0.0,0.0,10,0.4,0.699205898780101,10,0.0,0.0,10,212.23964769937672,212.23964769937672,0.0,0.22110831935702663,0.0
-5,9,0.2,2160.45,324.59559882687535,10,2160.45,324.59559882687535,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,102.64614107592053,102.64614107592053,0.0,0.0,0.0
