Chemotaxis Lambda_norm,n,mean,std,sem
0.0,1209,2055.825475599669,442.7375271457928,12.733071700263295
0.1,1208,2433.7959437086092,488.95438752722646,14.068081654070689
0.2,1209,3616.9185277088504,1561.8471359834214,44.918513448666815
0.3,1210,6207.065289256198,4389.327402577283,126.1842908030458
0.4,1209,10293.998345740281,8594.940635112407,247.1893360201978
0.5,1210,15334.67438016529,12536.009133038622,360.38492390068006
0.6,1210,20594.54132231405,15221.02583501416,437.5737269355548
0.7,1210,24999.135123966942,16814.431871896657,483.3809297901998
0.8,1210,28927.97603305785,17584.10628367384,505.50751340807454
0.9,1210,32333.644628099173,18002.544216565282,517.5367582021623
1.0,1210,35309.85082644628,17899.693510259534,514.5800082850421
