Contact Energy_norm,n,mean,std,sem
0.0,1210,3398.0256198347106,1421.7931272212406,40.87367857811516
0.1,1209,4481.960711331679,2576.834449899444,74.10941200715865
0.2,1207,6203.01864125932,4659.015248803396,134.10361859689291
0.3,1210,8703.154958677685,7464.473476196193,214.58852471540567
0.4,1209,11775.813482216709,10544.730510970798,303.2650304611096
0.5,1210,15584.252892561983,13702.61812811788,393.9225744760493
0.6,1210,19921.880578512395,16710.939090691416,480.4057215175269
0.7,1210,24015.15826446281,18725.432612431134,538.3183384298126
0.8,1210,27503.422727272726,19797.399797445316,569.1352282625757
0.9,1210,29643.146280991736,20187.36360582253,580.345899530807
1.0,1210,30889.188842975207,19955.28397488444,573.6740792372102
