Proliferative Probability_norm,n,mean,std,sem
0.0,1210,17339.73223140496,17738.373387292297,509.9423808214521
0.1,1209,17133.48842018197,17597.613984706844,506.1050100391464
0.2,1210,16982.215289256197,17527.19704950135,503.8714879546113
0.3,1210,16853.45743801653,17455.04139365545,501.79715869519066
0.4,1209,16578.07113316791,17291.93838236061,497.3138208513049
0.5,1209,16483.67493796526,17264.0171208082,496.5108091265012
0.6,1209,16437.66211745244,17174.12472741822,493.92551598968083
0.7,1210,16305.269008264462,17108.351890052672,491.8305362201185
0.8,1209,16169.272125723739,17075.7320213864,491.09575500519225
0.9,1210,16001.19917355372,16986.801220997146,488.33620017163844
1.0,1210,15874.597107438016,16911.731104039918,486.1780860461832
