Chemotaxis Lambda_norm,n,mean,std,sem
0.0,1209,2055.727047146402,442.8291489430293,12.73570673082201
0.1,1208,2399.75869205298,467.16138591258436,13.441058491945965
0.2,1209,3084.8858560794047,809.9053549521966,23.292769017155386
0.3,1210,4083.0380165289257,1504.1939162477674,43.24253470828637
0.4,1209,5653.740694789082,2782.239755797461,80.01684096280871
0.5,1210,7652.843388429752,3880.9998907822114,111.57090230669552
0.6,1210,9595.55826446281,4826.149992393918,138.74205732335528
0.7,1210,10929.517768595042,5287.28468531469,151.99874766655495
0.8,1210,11996.487603305784,5701.204814248178,163.89811472855843
0.9,1210,12617.621900826447,5870.2083100347245,168.75662363052348
1.0,1210,13011.076859504132,5991.092684516592,172.23180505677294
