Proliferative Probability_norm,n,mean,std,sem
0.0,1210,7772.68388429752,6016.481721872371,172.96168856262167
0.1,1209,7707.840777502068,5895.554964293275,169.55536739145566
0.2,1210,7730.1752066115705,5973.567332581672,171.72798661213307
0.3,1210,7679.920247933885,5912.857321913702,169.98269651682486
0.4,1209,7534.334987593052,5759.11586461653,165.63139724575066
0.5,1209,7520.251861042184,5713.0003617112125,164.30512158808827
0.6,1209,7561.6480562448305,5695.852651133581,163.81195573949182
0.7,1210,7509.1644628099175,5661.208315402466,162.7482962305153
0.8,1209,7449.476840363937,5594.723925267435,160.90350719276205
0.9,1210,7344.687603305785,5456.197707432556,156.85465563341728
1.0,1210,7288.402479338843,5510.8734740188,158.4264734082196
