bin,test,stat,p_raw,n_PP,n_CE,n_MC,p_fdr
"(-0.001, 0.1]",ANOVA,467.5235933326097,1.0480934957296417e-191,2419,2419,2417,5.240467478648208e-191
"(0.1, 0.2]",ANOVA,188.95859481279365,8.714442624638526e-79,1210,1207,1209,2.178610656159631e-78
"(0.2, 0.3]",ANOVA,162.16571910349086,3.5093568973286563e-68,1210,1210,1210,7.018713794657313e-68
"(0.3, 0.4]",ANOVA,129.7866838450497,3.6432988461317454e-55,1209,1209,1209,6.072164743552909e-55
"(0.4, 0.5]",ANOVA,92.49691775027112,6.610898119698992e-40,1209,1210,1210,6.610898119698992e-40
"(0.5, 0.6]",ANOVA,95.80683598671298,2.842798455816181e-41,1209,1210,1210,3.158664950906868e-41
"(0.6, 0.7]",ANOVA,109.93519913347359,4.435482574615185e-47,1210,1210,1210,5.544353218268981e-47
"(0.7, 0.8]",ANOVA,111.99856741891703,6.351617385795756e-48,1209,1210,1210,9.073739122565367e-48
"(0.8, 0.9]",ANOVA,208.16519621069193,2.617567937874531e-86,1210,1210,1210,8.72522645958177e-86
"(0.9, 1.0]",ANOVA,695.4598753379554,2.1864579707442315e-256,1210,1210,1210,2.1864579707442313e-255
