bin,test,stat,p_raw,n_PP,n_CE,n_MC,p_fdr
"(-0.001, 0.1]",ANOVA,1578.2759103021351,0.0,2419,2419,2417,0.0
"(0.1, 0.2]",ANOVA,375.03232044524054,9.303251497910568e-149,1210,1207,1209,2.325812874477642e-148
"(0.2, 0.3]",ANOVA,148.763124470144,8.060010477800073e-63,1210,1210,1210,1.1514300682571533e-62
"(0.3, 0.4]",ANOVA,39.7574880836833,8.322233424391272e-18,1209,1209,1209,9.246926027101413e-18
"(0.4, 0.5]",ANOVA,27.639383561931368,1.2216509755927493e-12,1209,1210,1210,1.2216509755927493e-12
"(0.5, 0.6]",ANOVA,81.89070534840278,1.6410685593097297e-35,1209,1210,1210,2.0513356991371621e-35
"(0.6, 0.7]",ANOVA,165.8317705268926,1.2165269078319014e-69,1210,1210,1210,2.0275448463865023e-69
"(0.7, 0.8]",ANOVA,292.6032111013015,1.5615728112085103e-118,1209,1210,1210,3.1231456224170207e-118
"(0.8, 0.9]",ANOVA,466.3825781787476,5.58872304864529e-181,1210,1210,1210,1.8629076828817634e-180
"(0.9, 1.0]",ANOVA,792.1204526806522,3.6873651501496683e-286,1210,1210,1210,1.843682575074834e-285
