bin,test,stat,p_raw,n_PP,n_CE,n_MC,p_fdr
"(-0.001, 0.1]",ANOVA,1448.0115138281292,0.0,2419,2419,2417,0.0
"(0.1, 0.2]",ANOVA,366.4694196192952,1.1367233460563566e-145,1210,1207,1209,2.8418083651408913e-145
"(0.2, 0.3]",ANOVA,222.3334953153544,8.270172997500244e-92,1210,1210,1210,1.378362166250041e-91
"(0.3, 0.4]",ANOVA,149.53350126712283,3.9735964655414473e-63,1209,1209,1209,5.676566379344925e-63
"(0.4, 0.5]",ANOVA,112.70727559456064,3.258795287807263e-48,1209,1210,1210,3.6208836531191814e-48
"(0.5, 0.6]",ANOVA,98.63662993645696,1.937897131159851e-42,1209,1210,1210,1.937897131159851e-42
"(0.6, 0.7]",ANOVA,121.54984634698063,8.042082866623442e-52,1210,1210,1210,1.0052603583279302e-51
"(0.7, 0.8]",ANOVA,256.6563128498388,5.645771623782657e-105,1209,1210,1210,1.1291543247565314e-104
"(0.8, 0.9]",ANOVA,528.7213651227257,3.1719696471769624e-202,1210,1210,1210,1.0573232157256541e-201
"(0.9, 1.0]",ANOVA,855.9229920760844,3.2632161860961943e-305,1210,1210,1210,1.6316080930480972e-304
