bin,test,stat,p_raw,n_PP,n_CE,n_MC,p_fdr
"(-0.001, 0.1]",ANOVA,1086.6020617023748,0.0,2419,2419,2417,0.0
"(0.1, 0.2]",ANOVA,451.27477162665207,1.0085194166173227e-175,1210,1207,1209,5.042597083086613e-175
"(0.2, 0.3]",ANOVA,297.2296167273445,2.9044744999926216e-120,1210,1210,1210,7.261186249981553e-120
"(0.3, 0.4]",ANOVA,167.20916242928908,3.4649662236752484e-70,1209,1209,1209,5.7749437061254144e-70
"(0.4, 0.5]",ANOVA,79.70240220398506,1.333363305396592e-34,1209,1210,1210,1.66670413174574e-34
"(0.5, 0.6]",ANOVA,32.812184586869364,7.538168904135394e-15,1209,1210,1210,7.538168904135394e-15
"(0.6, 0.7]",ANOVA,52.17272717300823,4.586515046640513e-23,1210,1210,1210,5.0961278296005696e-23
"(0.7, 0.8]",ANOVA,154.5659708231242,3.814106760848481e-65,1209,1210,1210,5.448723944069259e-65
"(0.8, 0.9]",ANOVA,292.67176316940555,1.4642457662184348e-118,1210,1210,1210,2.9284915324368695e-118
"(0.9, 1.0]",ANOVA,399.1121143911019,2.1670001697963443e-157,1210,1210,1210,7.223333899321148e-157
